Date,Mean Temp (°C),Total Rain (mm),Total Snow (cm)
2017-01-01,0.3,0.0,0.0
2017-01-02,-1.8,0.0,0.0
2017-01-03,-5.5,0.0,0.0
2017-01-04,-4.0,0.0,0.0
2017-01-05,-3.8,0.0,0.0
2017-01-06,-0.5,1.0,0.0
2017-01-07,-2.5,0.0,0.0
2017-01-08,1.3,18.0,0.0
2017-01-09,2.5,2.0,0.0
2017-01-10,1.5,0.0,0.0
2017-01-11,-3.5,0.0,0.0
2017-01-12,-4.8,0.0,0.0
2017-01-13,-3.8,0.0,0.0
2017-01-14,-2.3,0.0,0.0
2017-01-15,0.8,0.0,0.0
2017-01-16,1.8,12.2,0.0
2017-01-17,5.5,47.0,0.0
2017-01-18,9.0,39.0,0.0
2017-01-19,7.5,12.6,0.0
2017-01-20,5.3,2.0,0.0
2017-01-21,7.3,0.2,0.0
2017-01-22,4.3,5.2,0.0
2017-01-23,3.3,0.0,0.0
2017-01-24,1.0,0.0,0.0
2017-01-25,2.5,0.0,0.0
2017-01-26,,0.0,0.0
2017-01-27,4.8,0.0,0.0
2017-01-28,4.5,0.0,0.0
2017-01-29,5.0,2.4,0.0
2017-01-30,4.5,0.4,0.0
2017-01-31,2.8,0.0,0.0
2017-02-01,1.0,0.0,0.0
2017-02-02,0.8,0.0,0.0
2017-02-03,-1.3,6.0,22.0
2017-02-04,1.0,106.0,0.6
2017-02-05,0.0,2.3,1.0
2017-02-06,-1.0,2.8,2.6
2017-02-07,0.3,0.0,0.0
2017-02-08,-3.0,14.0,0.0
2017-02-09,2.5,11.4,0.0
2017-02-10,4.5,4.0,0.0
2017-02-11,3.0,1.0,0.0
2017-02-12,3.5,0.0,0.0
2017-02-13,4.0,0.0,0.0
2017-02-14,4.8,24.0,0.0
2017-02-15,5.8,18.4,0.0
2017-02-16,,0.0,0.0
2017-02-17,,1.0,0.0
2017-02-18,4.0,26.0,0.0
2017-02-19,6.3,6.2,0.0
2017-02-20,7.5,0.0,0.0
2017-02-21,5.0,0.0,0.0
2017-02-22,4.0,0.0,0.0
2017-02-23,,4.0,0.0
2017-02-24,5.3,0.0,0.0
2017-02-25,1.5,2.4,0.0
2017-02-26,4.3,0.0,0.0
2017-02-27,0.5,0.0,0.0
2017-02-28,2.0,4.8,0.0
2017-03-01,5.8,1.4,0.0
2017-03-02,6.0,19.2,0.0
2017-03-03,,7.2,0.0
2017-03-04,,0.6,0.0
2017-03-05,2.0,24.4,0.0
2017-03-06,3.5,8.0,0.0
2017-03-07,,9.2,0.0
2017-03-08,3.8,4.8,0.0
2017-03-09,3.3,13.4,0.0
2017-03-10,7.5,1.8,0.0
2017-03-11,6.5,134.0,0.0
2017-03-12,7.8,23.4,0.0
2017-03-13,8.8,4.8,0.0
2017-03-14,10.5,4.8,0.0
2017-03-15,10.5,4.8,0.0
2017-03-16,6.3,3.4,0.0
2017-03-17,6.8,22.8,0.0
2017-03-18,7.5,0.6,0.0
2017-03-19,5.5,0.0,0.0
2017-03-20,,0.0,0.0
2017-03-21,8.3,6.8,0.0
2017-03-22,9.3,5.2,0.0
2017-03-23,8.8,10.0,0.0
2017-03-24,8.0,7.0,0.0
2017-03-25,9.3,0.0,0.0
2017-03-26,8.0,19.4,0.0
2017-03-27,9.5,23.0,0.0
2017-03-28,8.3,61.2,0.0
2017-03-29,10.5,14.6,0.0
2017-03-30,9.8,0.0,0.0
2017-03-31,8.0,12.0,0.0
2017-04-01,8.8,44.0,0.0
2017-04-02,9.5,0.0,0.0
2017-04-03,6.3,0.0,0.0
2017-04-04,9.0,14.6,0.0
2017-04-05,9.0,17.0,0.0
2017-04-06,10.3,13.6,0.0
2017-04-07,,12.8,0.0
2017-04-08,,176.0,0.0
2017-04-09,8.5,4.2,0.0
2017-04-10,9.5,5.8,0.0
2017-04-11,9.0,0.5,0.0
2017-04-12,9.5,27.6,0.0
2017-04-13,10.5,3.6,0.0
2017-04-14,10.8,5.7,0.0
2017-04-15,10.5,0.0,0.0
2017-04-16,8.8,0.2,0.0
2017-04-17,12.8,4.8,0.0
2017-04-18,13.0,5.0,0.0
2017-04-19,11.3,14.6,0.0
2017-04-20,12.8,0.6,0.0
2017-04-21,12.0,0.0,0.0
2017-04-22,12.8,13.3,0.0
2017-04-23,11.8,21.3,0.0
2017-04-24,11.0,0.8,0.0
2017-04-25,11.3,4.0,0.0
2017-04-26,12.3,0.3,0.0
2017-04-27,11.3,0.0,0.0
2017-04-28,10.5,0.0,0.0
2017-04-29,9.0,78.0,0.0
2017-04-30,10.3,0.0,0.0
2017-05-01,8.8,4.3,0.0
2017-05-02,10.8,18.0,0.0
2017-05-03,12.8,17.8,0.0
2017-05-04,17.0,4.3,0.0
2017-05-05,14.8,0.2,0.0
2017-05-06,12.0,0.0,0.0
2017-05-07,10.0,0.0,0.0
